model,landscape,climate,year,species,disturbances,diversity,scenario,AGB_t_ha_med
ILAND,dischma,historic,10,potr,future,high_future,alpha,0.4108542138876985
ILAND,dischma,historic,10,potr,future,high_future,beta,0.8534791608205385
ILAND,dischma,historic,10,potr,historic,high,alpha,0.4042070172118267
ILAND,dischma,historic,10,potr,historic,high,beta,0.8561984999948913
ILAND,dischma,historic,10,potr,historic,high_future,alpha,0.4053810467670509
ILAND,dischma,historic,10,potr,historic,high_future,beta,0.8569046451728972
ILAND,dischma,historic,10,potr,no,high,alpha,0.4043772224081097
ILAND,dischma,historic,10,potr,no,high,beta,0.8589306547425986
ILAND,dischma,historic,10,potr,no,high_future,alpha,0.40475640179531674
ILAND,dischma,historic,10,potr,no,high_future,beta,0.8600220918869952
ILAND,dischma,historic,20,abal,future,high_future,alpha,0.0027222275318394247
ILAND,dischma,historic,20,abal,historic,high_future,alpha,0.0026964522322492504
ILAND,dischma,historic,20,abal,no,high_future,alpha,0.0027369688635496252
ILAND,dischma,historic,20,alvi,future,high,alpha,0.014497596156217343
ILAND,dischma,historic,20,alvi,future,high,beta,0.0012669678731969804
ILAND,dischma,historic,20,alvi,future,high_future,alpha,0.014451758620366534
ILAND,dischma,historic,20,alvi,future,high_future,beta,0.0012356589697704995
ILAND,dischma,historic,20,alvi,future,low,alpha,0.007978734843553985
ILAND,dischma,historic,20,alvi,future,low,beta,0.0014296505808051299
ILAND,dischma,historic,20,alvi,historic,high,alpha,0.014415628307112538
ILAND,dischma,historic,20,alvi,historic,high,beta,0.0012512453424694866
ILAND,dischma,historic,20,alvi,historic,high_future,alpha,0.014441862406989081
ILAND,dischma,historic,20,alvi,historic,high_future,beta,0.001253205507089619
ILAND,dischma,historic,20,alvi,historic,low,alpha,0.008011637494381708
ILAND,dischma,historic,20,alvi,historic,low,beta,0.0014662203729023525
ILAND,dischma,historic,20,alvi,no,high,alpha,0.01442238571452338
ILAND,dischma,historic,20,alvi,no,high,beta,0.0012230279521889507
ILAND,dischma,historic,20,alvi,no,high_future,alpha,0.014496205513802471
ILAND,dischma,historic,20,alvi,no,high_future,beta,0.0012106656911697153
ILAND,dischma,historic,20,alvi,no,low,alpha,0.007950263519960084
ILAND,dischma,historic,20,alvi,no,low,beta,0.0014651120694723478
ILAND,dischma,historic,20,bepe,future,high,alpha,3.6936964099306535
ILAND,dischma,historic,20,bepe,future,high,beta,4.976481899384252
ILAND,dischma,historic,20,bepe,future,high_future,alpha,3.572098338485616
ILAND,dischma,historic,20,bepe,future,high_future,beta,4.9440974795895745
ILAND,dischma,historic,20,bepe,historic,high,alpha,3.676082588227524
