model,climate,year,species,AGB,AGB_ha,landscape
ILAND,historic,180,coav,118.848,1.2876273022751895e-4,dischma
ILAND,historic,180,fasy,726.7629999999999,7.873921993499458e-4,dischma
ILAND,historic,180,frex,4.363,4.726977248104009e-6,dischma
ILAND,historic,180,lade,76097467.481,82.4457935872156,dischma
ILAND,historic,180,piab,108803450.503,117.880228063922,dischma
ILAND,historic,180,pice,8480725.871,9.188218711809316,dischma
ILAND,historic,180,pisy,25966.548,0.02813277139761647,dischma
ILAND,historic,180,poni,3.7859999999999996,4.101841820151679e-6,dischma
ILAND,historic,180,potr,96808.707,0.10488483965330443,dischma
ILAND,historic,180,saca,171.462,1.8576598049837486e-4,dischma
ILAND,historic,180,soar,27433.653,0.0297222676056338,dischma
ILAND,historic,180,soau,4173.359,0.004521515709642471,dischma
ILAND,historic,180,tico,78.519,8.506933911159264e-5,dischma
ILAND,historic,180,tipl,70.352,7.622101841820152e-5,dischma
ILAND,historic,180,ulgl,52.507,5.688732394366197e-5,dischma
ILAND,historic,190,abal,1104.343,0.0011964712892741064,dischma
ILAND,historic,190,acps,1029.371,0.0011152448537378116,dischma
ILAND,historic,190,alin,4.363,4.726977248104009e-6,dischma
ILAND,historic,190,alvi,12664.19,0.01372068255687974,dischma
ILAND,historic,190,bepe,258200.65,0.2797406825568797,dischma
ILAND,historic,190,coav,105.056,1.1382015167930661e-4,dischma
ILAND,historic,190,fasy,1147.974,0.0012437421451787648,dischma
ILAND,historic,190,lade,75283090.616,81.56347845720477,dischma
ILAND,historic,190,piab,110518602.403,119.73846414192849,dischma
ILAND,historic,190,pice,9366758.632,10.148167531960995,dischma
ILAND,historic,190,pisy,28018.169,0.030355546045503792,dischma
ILAND,historic,190,poni,2.894,3.135427952329361e-6,dischma
ILAND,historic,190,potr,116435.966,0.12614947562296858,dischma
ILAND,historic,190,saca,203.709,2.2070314192849404e-4,dischma
ILAND,historic,190,soar,37023.601,0.04011224377031419,dischma
ILAND,historic,190,soau,5424.4710000000005,0.005877,dischma
ILAND,historic,190,tico,107.81,1.1680390032502708e-4,dischma
ILAND,historic,190,tipl,134.306,1.4551029252437704e-4,dischma
ILAND,historic,190,ulgl,44.659,4.8384615384615386e-5,dischma
ILAND,historic,200,abal,1502.995,0.0016283802816901406,dischma
ILAND,historic,200,acps,632.394,6.851505958829902e-4,dischma
ILAND,historic,200,alvi,10392.682,0.011259677139761648,dischma
ILAND,historic,200,bepe,110827.696,0.1200733434452871,dischma
ILAND,historic,200,coav,126.487,1.3703900325027086e-4,dischma
ILAND,historic,200,fasy,1534.186,0.0016621733477789815,dischma
ILAND,historic,200,lade,72129226.831,78.14650794257855,dischma
ILAND,historic,200,piab,111487774.887,120.78848850162512,dischma
ILAND,historic,200,pice,9937647.156,10.766681642470205,dischma
ILAND,historic,200,pisy,17711.793,0.019189374864572048,dischma
ILAND,historic,200,poni,1.003,1.0866738894907907e-6,dischma
ILAND,historic,200,potr,40244.287,0.043601611050920905,dischma
ILAND,historic,200,saca,98.592,1.068169014084507e-4,dischma
ILAND,historic,200,soar,20109.686,0.021787308775731314,dischma
ILAND,historic,200,soau,3224.193,0.00349316684723727,dischma
ILAND,historic,200,tico,35.686,3.866305525460455e-5,dischma
ILAND,historic,200,tipl,105.418,1.1421235102925244e-4,dischma
ILAND,historic,200,ulgl,2.975,3.2231852654387865e-6,dischma
ILAND,historic,210,abal,2115.527,0.002292011917659805,dischma
ILAND,historic,210,acps,845.64,9.161863488624052e-4,dischma
ILAND,historic,210,alvi,25480.296,0.027605954496208014,dischma
ILAND,historic,210,bepe,174749.504,0.18932773997833152,dischma
ILAND,historic,210,coav,177.87800000000001,1.927172264355363e-4,dischma
ILAND,historic,210,fasy,2110.703,0.0022867854821235103,dischma
ILAND,historic,210,lade,71969277.757,77.97321533802817,dischma
ILAND,historic,210,piab,114629126.073,124.19190257096425,dischma
ILAND,historic,210,pice,11177843.961,12.11034015276273,dischma
ILAND,historic,210,pisy,18478.835,0.020020406283856988,dischma
ILAND,historic,210,poni,2.9989999999999997,3.2491874322860234e-6,dischma
ILAND,historic,210,potr,92662.464,0.10039270205850488,dischma
ILAND,historic,210,saca,74.905,8.115384615384616e-5,dischma
