landscape,climate,scenario,diversity,disturbances,replication,dist_impact,age_structure,experiment,run_id
dischma,historic,beta,low,future_100,9,species_height,normal,1,2809
dischma,historic,beta,low,future_100,10,species_height,normal,1,2810
dischma,historic,beta,low,historic_600,1,species_height,normal,1,2811
dischma,historic,beta,low,historic_600,2,species_height,normal,1,2812
dischma,historic,beta,low,historic_600,3,species_height,normal,1,2813
dischma,historic,beta,low,historic_600,4,species_height,normal,1,2814
dischma,historic,beta,low,historic_600,5,species_height,normal,1,2815
dischma,historic,beta,low,historic_600,6,species_height,normal,1,2816
dischma,historic,beta,low,historic_600,7,species_height,normal,1,2817
dischma,historic,beta,low,historic_600,8,species_height,normal,1,2818
dischma,historic,beta,low,historic_600,9,species_height,normal,1,2819
dischma,historic,beta,low,historic_600,10,species_height,normal,1,2820
dischma,historic,beta,low,no,1,species_height,young,2,2821
dischma,historic,beta,low,no,2,species_height,young,2,2822
dischma,historic,beta,low,no,3,species_height,young,2,2823
dischma,historic,beta,low,no,4,species_height,young,2,2824
dischma,historic,beta,low,no,5,species_height,young,2,2825
dischma,historic,beta,low,no,6,species_height,young,2,2826
dischma,historic,beta,low,no,7,species_height,young,2,2827
dischma,historic,beta,low,no,8,species_height,young,2,2828
dischma,historic,beta,low,no,9,species_height,young,2,2829
dischma,historic,beta,low,no,10,species_height,young,2,2830
dischma,historic,beta,low,no,1,species_height,old,2,2831
dischma,historic,beta,low,no,2,species_height,old,2,2832
dischma,historic,beta,low,no,3,species_height,old,2,2833
dischma,historic,beta,low,no,4,species_height,old,2,2834
dischma,historic,beta,low,no,5,species_height,old,2,2835
dischma,historic,beta,low,no,6,species_height,old,2,2836
dischma,historic,beta,low,no,7,species_height,old,2,2837
dischma,historic,beta,low,no,8,species_height,old,2,2838
dischma,historic,beta,low,no,9,species_height,old,2,2839
dischma,historic,beta,low,no,10,species_height,old,2,2840
dischma,historic,prod,no,future,1,species_height,young,2,2841
dischma,historic,prod,no,future,2,species_height,young,2,2842
dischma,historic,prod,no,future,3,species_height,young,2,2843
dischma,historic,prod,no,future,4,species_height,young,2,2844
dischma,historic,prod,no,future,5,species_height,young,2,2845
dischma,historic,prod,no,future,6,species_height,young,2,2846
dischma,historic,prod,no,future,7,species_height,young,2,2847
dischma,historic,prod,no,future,8,species_height,young,2,2848
dischma,historic,prod,no,future,9,species_height,young,2,2849
dischma,historic,prod,no,future,10,species_height,young,2,2850
dischma,historic,prod,no,future,1,species_height,old,2,2851
dischma,historic,prod,no,future,2,species_height,old,2,2852
dischma,historic,prod,no,future,3,species_height,old,2,2853
dischma,historic,prod,no,future,4,species_height,old,2,2854
dischma,historic,prod,no,future,5,species_height,old,2,2855
dischma,historic,prod,no,future,6,species_height,old,2,2856
dischma,historic,prod,no,future,7,species_height,old,2,2857
dischma,historic,prod,no,future,8,species_height,old,2,2858
dischma,historic,prod,no,future,9,species_height,old,2,2859
dischma,historic,prod,no,future,10,species_height,old,2,2860
dischma,historic,prod,no,future,1,random,normal,3,2861
dischma,historic,prod,no,future,2,random,normal,3,2862
dischma,historic,prod,no,future,3,random,normal,3,2863
dischma,historic,prod,no,future,4,random,normal,3,2864
dischma,historic,prod,no,future,5,random,normal,3,2865
dischma,historic,prod,no,future,6,random,normal,3,2866
dischma,historic,prod,no,future,7,random,normal,3,2867
dischma,historic,prod,no,future,8,random,normal,3,2868
dischma,historic,prod,no,future,9,random,normal,3,2869
dischma,historic,prod,no,future,10,random,normal,3,2870
dischma,historic,prod,no,future,1,height_only,normal,3,2871
dischma,historic,prod,no,future,2,height_only,normal,3,2872
dischma,historic,prod,no,future,3,height_only,normal,3,2873
dischma,historic,prod,no,future,4,height_only,normal,3,2874
